'FP1-*SD', 'FP2-*SD', 'F3-*SD', 'F4-*SD', 'C3-*SD', 'C4-*SD', 'P3-*SD', 'P4-*SD', 'O1-*SD', 'O2-*SD', 'F7-*SD', 'F8-*SD', 'T7-*SD', 'T8-*SD', 'P7-*SD', 'P8-*SD', 'FZ-*SD', 'CZ-*SD', 'PZ-*SD'
0.0566432,1.9284,2.75603,-0.647043,-0.149879,-0.633594,-0.493155,0.612708,0.847081,-0.457897,0.74453,0.092693,-1.85017,-1.09546,0.394722,-1.24982,-0.680201,0.27045,0.584197
0.0586762,1.77223,2.7635,-0.65303,-0.155328,-0.519299,-0.62962,0.886375,0.650794,-0.791953,0.45024,0.100247,-1.34849,-1.6278,0.406245,-1.11745,-0.427818,0.436516,0.787882
0.146662,2.06121,2.83318,-0.759219,-0.207305,-0.864507,-0.40254,1.04326,0.489033,-1.00461,0.535716,0.0297215,-2.06345,-0.999757,0.463463,-1.60134,-0.0543144,0.561333,1.00691
0.297345,2.1016,2.6536,-0.446768,-0.445491,-0.859335,-0.273695,1.10475,0.200787,-1.44735,0.477621,0.24691,-1.78604,-1.19822,0.364024,-1.78029,0.242194,0.806943,1.31888
0.622292,1.95761,2.16097,-0.0321941,-0.811487,-0.610359,0.143595,1.37718,-0.241115,-1.88744,0.060518,0.351709,-1.6345,-1.37217,0.247684,-2.01931,0.468498,1.03645,1.78545
0.883364,1.79867,2.23701,0.104576,-0.465557,-0.359474,0.698454,1.41654,-0.459393,-1.93431,0.293483,0.249416,-2.43267,-1.49944,0.207368,-2.0304,0.444435,1.31151,1.91376
1.23263,1.59184,2.27566,0.494945,-0.457739,-0.599654,1.01042,1.64364,-0.568587,-2.24915,0.229593,0.224549,-2.52439,-1.60861,0.203222,-2.21299,0.634521,1.44138,2.17287
1.06609,1.66056,2.08295,0.333677,-0.369491,-0.38365,1.38243,1.68534,-0.774189,-2.48681,0.361472,0.0220618,-2.84969,-1.45247,0.23552,-2.5397,0.381053,1.76523,2.20732
0.977775,1.60884,2.29062,-0.236894,-0.168263,0.239385,1.81607,1.7582,-0.983556,-2.82052,0.362058,-0.158346,-2.51927,-1.22937,0.0395235,-2.78767,0.522113,1.80225,2.43336
1.08942,0.8378,2.18029,0.129204,0.123842,0.526229,2.00615,2.07314,-1.20168,-2.82724,0.101873,-0.258627,-2.06422,-1.86757,-0.0032577,-2.9154,0.761689,1.64216,2.54966
1.09292,0.981705,2.33446,0.23201,0.353854,0.556213,2.32151,2.26178,-1.50152,-3.12019,0.543773,0.448249,-2.65855,-2.18892,-0.441137,-3.23977,0.619016,1.70814,2.78869
1.38961,1.1303,2.69894,0.43183,0.321587,0.211226,2.5439,2.28307,-1.62879,-3.16841,0.487294,0.701724,-2.86236,-1.97813,-0.676522,-3.63678,0.504686,1.76526,2.9765
1.07088,1.0127,2.04518,0.479297,0.165063,0.38809,2.50983,2.15545,-1.78331,-3.24085,0.48584,0.669409,-1.61086,-1.59472,-1.3708,-4.12852,0.698337,1.78251,3.24894
1.53842,0.698229,1.86627,1.0459,0.265061,0.674768,2.64747,2.05798,-1.77458,-3.28315,0.269453,0.455115,-1.85468,-1.60662,-1.38986,-4.08898,0.777596,1.81501,3.32782
2.00222,0.500678,1.81112,1.44203,0.506089,0.925819,2.81142,1.79035,-1.74887,-3.42744,0.257378,0.437607,-2.5508,-1.50696,-1.35825,-4.26642,0.822001,1.90747,3.55273
2.54742,0.0492506,1.77543,1.63329,0.515731,1.05801,2.88749,1.64642,-1.52145,-3.53608,-0.00615871,0.127885,-2.99375,-1.08528,-1.47218,-4.3959,0.860329,2.29904,3.67852
2.88229,0.0564097,1.7029,1.8865,0.580809,1.35633,2.96425,1.55163,-1.22545,-3.67615,-0.0388711,0.12199,-3.53397,-1.71726,-1.52859,-4.37725,0.913199,2.62497,3.64814
2.77092,0.238839,1.54599,2.26493,0.785899,1.65632,2.8346,1.6719,-1.17008,-3.62896,-0.334131,0.36364,-3.20184,-2.72672,-1.56965,-4.74221,1.07457,2.86398,3.64192
3.4048,0.186141,2.18264,2.22049,1.03176,1.27504,3.11632,1.37037,-0.85597,-3.4797,0.00708779,0.51205,-5.23924,-2.22305,-1.50185,-4.95843,1.25923,3.07027,3.70045
3.07786,0.0866194,1.58483,2.48258,0.922475,1.09261,2.55893,1.30858,-0.812751,-3.25602,-0.878752,0.667344,-3.22266,-2.12258,-1.70513,-4.7465,1.20766,2.84006,3.34331
3.66164,0.14606,1.7477,3.34962,1.18817,1.3191,2.84674,1.36171,-0.483064,-2.95769,-0.827805,0.583529,-4.29264,-3.17475,-1.39508,-4.44531,1.10899,2.42105,3.09743
3.37182,-0.105265,1.60914,2.98167,1.05351,1.35794,2.95253,1.33097,-0.343938,-2.5737,-0.29849,0.937391,-4.0724,-3.17148,-1.80396,-4.29176,1.10307,2.13277,2.943
3.23456,0.19444,1.19918,3.50634,0.94093,1.20199,2.74003,1.30512,-0.250212,-2.39705,-0.359331,1.02744,-3.64149,-3.10732,-2.05945,-4.34023,0.824916,1.75685,2.89136
3.07944,0.366019,0.61782,3.96063,0.964952,1.08971,2.58773,1.30397,-0.0266759,-2.07673,-0.590499,0.759118,-3.21791,-3.3843,-2.26401,-4.13717,0.666057,1.49366,2.98245
3.04545,0.167104,0.381149,3.99639,0.665053,0.921172,2.32268,1.12333,0.203187,-1.88403,-0.545287,0.572886,-3.08166,-3.27474,-2.19666,-4.06783,0.809598,1.50108,3.0894
